区域,租房链接,房源名称,房屋基本信息,房屋来源,发布时间,房屋特点,最低价(元/月),最高价(元/月)
罗湖区,https://sz.zu.ke.com/apartment/1324.html,艾特公寓 桂园店 单身公寓 开间,35㎡/南北/1室0厅1卫,艾特公寓,4个月前发布,"独栋公寓,近地铁",3200,3500
罗湖区,https://sz.zu.ke.com/apartment/1313.html,上寓 翠竹店 高级复式,仅剩5间/30㎡/东南西北/1室1厅1卫,上寓,4个月前发布,"独栋公寓,近地铁",3300,3300
罗湖区,https://sz.zu.ke.com/zufang/SZ2080554885073338368.html,整租 · 华讯中心 1室1厅,罗湖区-地王/51㎡/东南/1室1厅1卫/未知（46层）,平台优选房东,6天前发布,"精装,免中介费,新上",6000,6000
罗湖区,https://sz.zu.ke.com/zufang/SZ2081141212777562112.html,整租 · 中海天钻 4室2厅,罗湖区-万象城/120㎡/南/4室2厅2卫/未知（36层）,平台优选房东,6天前发布,"近地铁,精装,免中介费,双卫生间,新上,随时看房",21000,21000
罗湖区,https://sz.zu.ke.com/apartment/4824.html,一期一会 罗湖春风店 B户型 开间,30-35㎡/东南/1室0厅1卫,一期一会,1个月前发布,"独栋公寓,近地铁",4000,4000
罗湖区,https://sz.zu.ke.com/zufang/SZ2080289673216786432.html,紫荆花园 近地铁 精装朝南大阳台三房,罗湖区-布心/99㎡/南/3室2厅1卫/高楼层（32层）,链家,7天前发布,近地铁,5600,5600
罗湖区,https://sz.zu.ke.com/zufang/SZ2081193730849128448.html,京基东方都会，精装一房一厅，家私电齐全，拎包入住,罗湖区-新秀/36㎡/西/1室1厅1卫/中楼层（32层）,链家,6天前发布,"近地铁,新上",4200,4200
罗湖区,https://sz.zu.ke.com/zufang/SZ2083873604508065792.html,优质百仕达精装两房、高楼层朝南采光户型佳、配套齐全,罗湖区-布心/67㎡/南/2室1厅1卫/高楼层（32层）,链家,2天前发布,"近地铁,新上,随时看房",6000,6000
罗湖区,https://sz.zu.ke.com/zufang/SZ2085219286045442048.html,整租 · 中海天钻 4室2厅,罗湖区-万象城/100㎡/南/4室2厅2卫/未知（39层）,邦代物业,今天发布,"近地铁,精装,免中介费,双卫生间,新上,随时看房",14000,14000
罗湖区,https://sz.zu.ke.com/zufang/SZ2077392963285295104.html,合正荣悦  翠竹站  精装大4房   拎包入住,罗湖区-黄贝岭/159㎡/东南南/4室2厅2卫/低楼层（51层）,链家,11天前发布,近地铁,18000,18000
罗湖区,https://sz.zu.ke.com/apartment/933.html,茧栈公寓 东门店 高级房A 开间,36㎡/东南西北/1室0厅1卫,茧栈公寓,5个月前发布,"独栋公寓,近地铁",3980,5000
罗湖区,https://sz.zu.ke.com/apartment/933.html,茧栈公寓 东门店 高级房B 开间,仅剩1间/38㎡/东南/1室0厅1卫,茧栈公寓,5个月前发布,"独栋公寓,近地铁",4600,4600
罗湖区,https://sz.zu.ke.com/zufang/SZ2078940224238387200.html,铂金时代罗湖 2室1厅 5800元,罗湖区-罗湖口岸/59㎡/南/2室1厅1卫/中楼层（31层）,链家,9天前发布,近地铁,5800,5800
罗湖区,https://sz.zu.ke.com/apartment/2480.html,碧家国际社区 东门店 舒适典雅一居室 开间,26-33㎡/南/1室0厅1卫,碧家国际社区,3个月前发布,"独栋公寓,近地铁",4580,4580
罗湖区,https://sz.zu.ke.com/zufang/SZ2085196935488348160.html,整租 · 中海天钻 4室2厅,罗湖区-万象城/100㎡/南/4室2厅2卫/未知（39层）,邦代物业,今天发布,"近地铁,精装,免中介费,双卫生间,新上,随时看房",14000,14000
罗湖区,https://sz.zu.ke.com/zufang/SZ2084808506925654016.html,集浩花园 2室2厅 5500元,罗湖区-黄贝岭/68㎡/东南/2室2厅1卫/高楼层（24层）,链家,1天前发布,"近地铁,新上,随时看房",5500,5500
罗湖区,https://sz.zu.ke.com/zufang/SZ2085398385845600256.html,景贝南小区 3室1厅 4500元,罗湖区-黄贝岭/88㎡/东南/3室1厅1卫/中楼层（7层）,链家,今天发布,"近地铁,新上,随时看房",4500,4500
罗湖区,https://sz.zu.ke.com/zufang/SZ2075934251647238144.html,泰和花园 布心地铁站 适合居家 精装 家私电齐全 跃层,罗湖区-布心/146㎡/南/5室1厅2卫/高楼层（7层）,链家,13天前发布,近地铁,8000,8000
罗湖区,https://sz.zu.ke.com/apartment/1338.html,星窝青年创业公寓 新秀店 一房一厅,仅剩2间/35㎡/南/1室1厅1卫,星窝青年创业公寓,4个月前发布,"独栋公寓,近地铁",3200,3200
罗湖区,https://sz.zu.ke.com/zufang/SZ2084112927778422784.html,整租 · 幸福万象豪 装三房，高层双阳台朝南好户型。,罗湖区-罗湖口岸/63㎡/南/3室2厅2卫/高楼层（32层）,链家,1天前发布,"近地铁,精装,双卫生间,新上,随时看房",13000,13000
罗湖区,https://sz.zu.ke.com/apartment/2666.html,梧桐春天 罗湖店 大单间 开间,仅剩5间/35-40㎡/西北/1室0厅1卫,梧桐春天,3个月前发布,独栋公寓,2100,2300
罗湖区,https://sz.zu.ke.com/zufang/SZ2066469867107647488.html,东郡5房复式 看深圳水库全景 超大面积 顶楼带花园,罗湖区-百仕达/305㎡/东北/5室3厅5卫/高楼层（32层）,链家,26天前发布,"近地铁,随时看房",30000,30000
罗湖区,https://sz.zu.ke.com/apartment/1313.html,上寓 翠竹店 迷你复式,仅剩5间/25㎡/东西西北北/1室1厅1卫,上寓,4个月前发布,"独栋公寓,近地铁",2800,3000
罗湖区,https://sz.zu.ke.com/zufang/SZ2079695929480855552.html,罗湖东门近地铁优质四房，精装修，拎包入住,罗湖区-东门/87㎡/西北/4室1厅2卫/中楼层（25层）,链家,8天前发布,"近地铁,随时看房",8500,8500
罗湖区,https://sz.zu.ke.com/apartment/4122.html,平台优选房东 创客坊公寓 小房间 20平方 开间,仅剩1间/20㎡/南/1室0厅1卫,平台优选房东,1个月前发布,"独栋公寓,近地铁",2200,2200
罗湖区,https://sz.zu.ke.com/apartment/4824.html,一期一会 罗湖春风店 D户型 开间,25㎡/东南/1室0厅1卫,一期一会,1个月前发布,"独栋公寓,近地铁",3600,3600
罗湖区,https://sz.zu.ke.com/zufang/SZ2083796187622162432.html,青湖山庄 2室1厅 3600元,罗湖区-清水河/66㎡/北/2室1厅1卫/中楼层（8层）,链家,2天前发布,"新上,随时看房",3600,3600
罗湖区,https://sz.zu.ke.com/zufang/SZ2076753485814038528.html,整租 · 黄贝岭地铁站新天地名居精装1房1厅整租,罗湖区-黄贝岭/38㎡/东北/1室1厅1卫/低楼层（31层）,链家,12天前发布,"近地铁,精装,随时看房",4800,4800
罗湖区,https://sz.zu.ke.com/zufang/SZ2064214639960932352.html,鹏兴花园六期  双阳台 南北通  带固定车位  生活便利,罗湖区-莲塘/99㎡/东南/3室2厅2卫/低楼层（11层）,链家,29天前发布,,9000,9000
罗湖区,https://sz.zu.ke.com/apartment/2975.html,平台优选房东 步香闺公寓（罗湖店） 小套房 开间,仅剩2间/12㎡/东东南南西南西西北北东北/1室0厅1卫,平台优选房东,2个月前发布,"在线签约,独栋公寓,近地铁",2800,2800
罗湖区,https://sz.zu.ke.com/zufang/SZ2049265978168049664.html,精装三房一厅 近晒布、翠竹站，近螺岭外国语 适合居家,罗湖区-螺岭/87㎡/南/3室1厅1卫/低楼层（31层）,链家,1个月前发布,近地铁,8000,8000
罗湖区,https://sz.zu.ke.com/zufang/SZ2068759810887139328.html,笋岗新时速嘉园三房  南北通透 精装修电梯房 拎包入住,罗湖区-笋岗/90㎡/南/3室2厅1卫/高楼层（8层）,链家,23天前发布,近地铁,6500,6500
罗湖区,https://sz.zu.ke.com/zufang/SZ2070977663647875072.html,l罗湖金岸大厦     两房一厅  6000一个月,罗湖区-罗湖口岸/67㎡/南/2室1厅1卫/高楼层（33层）,链家,20天前发布,近地铁,6000,6000
罗湖区,https://sz.zu.ke.com/zufang/SZ2084046841628344320.html,阳光绿地家园 4室1厅 10500元,罗湖区-百仕达/129㎡/南/4室1厅2卫/高楼层（26层）,链家,2天前发布,"近地铁,新上",10500,10500
罗湖区,https://sz.zu.ke.com/apartment/1324.html,艾特公寓 桂园店 一房一厅,仅剩1间/45㎡/南/1室1厅1卫,艾特公寓,3个月前发布,"独栋公寓,近地铁",4500,4500
罗湖区,https://sz.zu.ke.com/zufang/SZ2080097503847383040.html,百仕达花园二期 3室2厅 10800元,罗湖区-百仕达/114㎡/南/3室2厅2卫/中楼层（9层）,链家,7天前发布,"近地铁,随时看房",10800,10800
罗湖区,https://sz.zu.ke.com/zufang/SZ2083995053532905472.html,整租 · 深业东岭 3室2厅,罗湖区-黄贝岭/87㎡/3室2厅1卫/未知（38层）,海洋之心公寓,2天前发布,"公寓,近地铁,精装,免中介费,新上,随时看房",8800,8800
罗湖区,https://sz.zu.ke.com/zufang/SZ2080836808488255488.html,汇鑫花园，花园式小区，两房一厅，户型方正，超级通风,罗湖区-黄贝岭/55㎡/东北/2室1厅1卫/高楼层（26层）,链家,6天前发布,"近地铁,新上,随时看房",5000,5000
罗湖区,https://sz.zu.ke.com/zufang/SZ2070235266806710272.html,罗湖高档小区 新精装修 身边三大公园傍身 购物沃尔玛,罗湖区-东门/188㎡/东南/4室2厅3卫/高楼层（25层）,链家,21天前发布,近地铁,20000,20000
罗湖区,https://sz.zu.ke.com/apartment/4122.html,平台优选房东 创客坊公寓 A大单间 开间,仅剩1间/30㎡/北/1室0厅1卫,平台优选房东,1个月前发布,"独栋公寓,近地铁",2300,2300
罗湖区,https://sz.zu.ke.com/apartment/1313.html,上寓 翠竹店 高级景观复式,仅剩2间/43-50㎡/西南/1室1厅1卫,上寓,4个月前发布,"独栋公寓,近地铁",4700,5100
罗湖区,https://sz.zu.ke.com/apartment/1746.html,本地共和社区 深运26 B 开间,19-25㎡/东南南北/1室0厅1卫,本地共和社区,3个月前发布,"独栋公寓,近地铁",2800,3500
罗湖区,https://sz.zu.ke.com/zufang/SZ2080267284861435904.html,今日家园 2室1厅 5000元,罗湖区-布心/62㎡/南/2室1厅1卫/低楼层（25层）,链家,7天前发布,近地铁,5000,5000
罗湖区,https://sz.zu.ke.com/apartment/1452.html,本地共和社区 巷子里 C 开间,仅剩2间/20㎡/东南/1室0厅1卫,本地共和社区,4个月前发布,"独栋公寓,近地铁",2400,2500
罗湖区,https://sz.zu.ke.com/zufang/SZ2081593513744531456.html,整租 · 东门天下 1室1厅,罗湖区-东门/47㎡/西南/1室1厅1卫/未知（31层）,周周管家,5天前发布,"在线签约,公寓,近地铁,精装,免中介费,新上",4800,4800
罗湖区,https://sz.zu.ke.com/zufang/SZ2078005205211299840.html,东南朝向 精装大两房 赠入户 安静不吵看空中花园,罗湖区-洪湖/82㎡/东南/2室1厅1卫/低楼层（32层）,链家,10天前发布,"近地铁,随时看房",7200,7200
罗湖区,https://sz.zu.ke.com/zufang/SZ2051837838541979648.html,整租 · 中海天钻 3室2厅,罗湖区-万象城/101㎡/南/3室2厅2卫/未知（35层）,平台优选房东,1个月前发布,"在线签约,近地铁,精装,免中介费,双卫生间",15000,15000
罗湖区,https://sz.zu.ke.com/zufang/SZ2079728045476298752.html,此房厅出大阳台厨房带生活阳台，户型端正高楼层采光好,罗湖区-莲塘/79㎡/南北/2室1厅1卫/高楼层（17层）,链家,8天前发布,随时看房,5500,5500
罗湖区,https://sz.zu.ke.com/zufang/SZ2081892304108929024.html,凤凰印象 1室1厅 5400元,罗湖区-螺岭/42㎡/南/1室1厅1卫/中楼层（31层）,链家,5天前发布,"近地铁,新上,随时看房",5400,5400
罗湖区,https://sz.zu.ke.com/zufang/SZ2083337661610721280.html,阳光新干线家园 2室1厅 6800元,罗湖区-春风路/70㎡/南/2室1厅1卫/高楼层（33层）,链家,3天前发布,"近地铁,新上,随时看房",6800,6800
罗湖区,https://sz.zu.ke.com/apartment/1746.html,本地共和社区 深运26 C 开间,仅剩4间/25-28㎡/东南西南/1室0厅1卫,本地共和社区,1个月前发布,"独栋公寓,近地铁",3800,4100
罗湖区,https://sz.zu.ke.com/apartment/5592.html,至尊寓 田贝店 [2房1厅] 交通便捷 洪湖地铁口 二居+,仅剩1间/63㎡/东南/2室1厅1卫,至尊寓,21天前发布,"独栋公寓,近地铁",4900,4900
罗湖区,https://sz.zu.ke.com/apartment/2666.html,梧桐春天 罗湖店 小单房 开间,25㎡/西北/1室0厅1卫,梧桐春天,3个月前发布,独栋公寓,1700,1700
罗湖区,https://sz.zu.ke.com/apartment/2666.html,梧桐春天 罗湖店 大单间 开间,仅剩2间/45㎡/东北/1室0厅1卫,梧桐春天,3个月前发布,独栋公寓,2500,2500
罗湖区,https://sz.zu.ke.com/apartment/5592.html,至尊寓 田贝店 【1房1厅】洪湖站A出口,仅剩1间/43㎡/西北/1室1厅1卫,至尊寓,28天前发布,"独栋公寓,近地铁",3300,3300
罗湖区,https://sz.zu.ke.com/apartment/2666.html,梧桐春天 罗湖店 一室一厅,35㎡/西/1室1厅1卫,梧桐春天,3个月前发布,独栋公寓,2300,2300
罗湖区,https://sz.zu.ke.com/apartment/2975.html,平台优选房东 步香闺公寓（罗湖店） 迷你单人间 开间,仅剩1间/10㎡/东东南南西南西西北北东北/1室0厅1卫,平台优选房东,2个月前发布,"在线签约,独栋公寓,近地铁",2200,2200
罗湖区,https://sz.zu.ke.com/zufang/SZ2083225677779443712.html,东南朝向 精装大两房 赠入户 安静不吵看空中花园,罗湖区-洪湖/83㎡/东南/2室1厅1卫/高楼层（31层）,链家,3天前发布,"近地铁,新上",7500,7500
罗湖区,https://sz.zu.ke.com/zufang/SZ2085361475324477440.html,罗湖高档小区新精装修 身边三大公园傍身 购物沃尔玛,罗湖区-东门/114㎡/南/3室2厅2卫/低楼层（32层）,链家,今天发布,"近地铁,新上",15500,15500
罗湖区,https://sz.zu.ke.com/zufang/SZ2079532265397813248.html,整租 · 西湖大厦 1室1厅,罗湖区-地王/30㎡/1室1厅1卫/未知（14层）,春丰公寓,8天前发布,"在线签约,公寓,月租,近地铁,免中介费,押一付一,随时看房",3500,3500
罗湖区,https://sz.zu.ke.com/zufang/SZ2075094264861704192.html,万科东方尊峪精装四房，背靠梧桐，拥享静逸美好生活！,罗湖区-莲塘/175㎡/东南/4室1厅2卫/低楼层（24层）,链家,14天前发布,,12500,12500
罗湖区,https://sz.zu.ke.com/zufang/SZ2079607432879022080.html,整租 · 罗湖区地铁口物业精装3房2厅2卫整租,罗湖区-罗湖口岸/104㎡/西南西/3室1厅2卫/中楼层（30层）,链家,8天前发布,"近地铁,精装,双卫生间,随时看房",7800,7800
罗湖区,https://sz.zu.ke.com/zufang/SZ2080554885123670016.html,整租 · 华讯中心 1室1厅,罗湖区-地王/51㎡/东南/1室1厅1卫/未知（46层）,平台优选房东,6天前发布,"精装,免中介费,新上",6000,6000
罗湖区,https://sz.zu.ke.com/zufang/SZ2055144452275568640.html,幸福里精装大三房，居家超爽感受，高档家私拎包入住,罗湖区-万象城/143㎡/东北/4室2厅2卫/中楼层（49层）,链家,1个月前发布,"近地铁,随时看房",24000,24000
罗湖区,https://sz.zu.ke.com/zufang/SZ2069493232806395904.html,幸福里精装大三房 家私家电齐全 拎包入住,罗湖区-万象城/146㎡/南/4室2厅2卫/中楼层（49层）,链家,22天前发布,"近地铁,随时看房",24000,24000
